Variety,pH,TA,Tartaric,Malic,Lactic,Acetic,Citric,Ortho_Fruit,Ortho_Floral,Ortho_Vegetal,IM_Fruit,IM_Floral,IM_Vegetal,,,,,
15.0414.01,3.71,5.9,2.4,NA,3.6,0.8,NA,2.375,1,2.5,1.875,1.083333333,2.75,,,,,
10.0910.01,3.36,6.5,3.2,NA,2.2,0.7,0.0,2.5,1.583333333,1,3.041666667,1.708333333,1.375,,,0,,
14.0304.03,3.19,6.9,4.1,3.2,0.6,0.67,0.55,4.333333333,1.583333333,0.333333333,3.416666667,1.333333333,0.416666667,,,,,
12.0118.03,3.19,7.1,5.3,3.8,0.4,0.51,0.70,1.166666667,1.25,3.625,1.5,1.66,2.5,,,,,
15.0406.03,3.24,9.5,4.1,6.3,0.4,0.59,0.53,2.416666667,1.708333333,1.125,2.5,1.25,0.75,,,,,
10.0927.01,3.34,8.0,4.1,5.1,0.3,0.31,0.51,2.958333333,2.833333333,0.5,2.166666667,2.333333333,0.583333333,,,,,
16.0507.01,3.21,6.0,3.0,1.2,0.6,0.74,0.16,2.666666667,3.277777778,0.666666667,2.222222222,3.222222222,0.333333333,,,,,
06.0514.06,3.50,6.4,2.5,NA,3.2,0.5,0.1,2.888888889,1.111111111,1,2.333333333,1,1.888888889,,,,,
Chambourcin,3.46,8.5,3.3,NA,3.8,0.7,0.4,1.833333333,0.888888889,2.611111111,1.666666667,0.555555556,2.111111111,,,,,
12.0108.01,3.77,6.1,1.8,NA,4.3,1.1,NA,3.208333333,1.333333333,1.666666667,1.958333333,1.583333333,1.708333333,,,,,
13.0205.01,3.05,7.1,6.2,2.2,0.3,0.28,0.19,1.833333333,1.791666667,1.708333333,1.75,1.541666667,1.333333333,,,,,
12.0107.04,3.55,8.2,3.4,NA,5.6,0.9,NA,1.888888889,1,1.666666667,1.722222222,1.111111111,2.222222222,,,,,
10.0937.04,3.70,9.1,1.8,NA,8.9,0.7,0.3,1.611111111,0.777777778,3,1.111111111,1.277777778,3.111111111,,,,,
14.0307.04,3.49,7.2,2.6,NA,4.8,1.1,NA,2.363636364,2.136363636,1,2.545454545,1.727272727,1.454545455,,,,,
